x,y,z,label
-0.40176103,-0.1078113,0.6321143,1
0.13926762,-0.1763121,0.06427127,1
-0.21217561,0.20628248,0.3952284,1
-0.03386857,0.017523605,-0.22762607,0
-0.4645289,-0.07847089,0.6413341,1
0.081207275,0.16358265,-0.23213224,0
-0.011887071,0.1943069,-0.1435999,0
0.10350569,0.029371157,0.18345724,1
-0.13360965,0.3531047,-0.042906787,0
-0.05744341,0.017523605,0.2675202,1
-0.108343,0.037228018,0.38060296,1
-0.15199393,-0.09218223,-0.2420429,0
-0.33638978,-0.053533908,0.33382457,1
-0.22881784,-0.12863137,0.4096716,1
-0.5199591,-0.12968251,0.60130125,1
-0.14558905,0.07654993,0.3624468,1
-0.18142223,-0.09218223,0.00078591646,0
0.043277416,0.4564379,-0.20931347,0
-0.14795114,0.1943069,-0.030422894,0
-0.3735622,0.062023036,0.5085609,1
-0.17334554,-0.14717253,0.36443862,1
0.52772397,-0.20592046,-0.019688286,1
-0.36137673,0.095613025,0.5267155,1
-0.22863297,-0.1319377,0.19277957,0
0.10032387,0.03873961,0.16367514,1
0.17700458,-0.16728081,-0.31488234,0
-0.038170725,-0.1966519,0.23343529,1
0.40063626,-0.15204942,-0.020137278,1
-0.17221464,0.09594934,0.40287703,1
0.08725432,0.16998786,0.28420615,1
-0.219819,-0.1477564,0.39654288,1
-0.35823786,-0.17648263,0.5209674,1
-0.097380295,-0.1763121,0.18257555,1
-0.10486323,-0.089862026,-0.7477079,0
-0.018400181,0.055035308,0.059374504,0
0.037061013,0.031575628,0.1589935,1
-0.028047012,0.04185315,-0.26155916,0
0.093695804,0.1943069,-0.12796247,0
0.1706621,-0.1669225,-0.5840883,0
-0.04142356,0.5198673,-0.18963596,0
0.00097649865,-0.09218223,-0.3080074,0
-0.06711042,-0.1763121,-0.47409403,0
0.10826414,0.03285705,0.2075234,1
-0.07624767,-0.1763121,-0.5476095,0
-0.10752228,0.07281071,-0.21830072,0
0.14204632,0.14822942,0.1726271,1
-0.043172136,-0.09218223,-0.5851094,0
0.16331248,-0.09218223,-0.123170555,0
-0.038308546,-0.1763121,-0.66767573,0
-0.15484156,0.05256286,0.38328686,1
0.03688345,-0.1763121,-0.23356129,0
-0.42171,-0.0013496454,0.5503112,1
0.09174881,0.13649946,0.09347642,1
0.025122387,-0.09218223,0.15635677,1
-0.12926668,-0.09218223,-0.18495105,0
0.4216066,-0.19918239,0.036105134,1
-0.07828246,0.054350905,-0.29329655,0
0.05740761,-0.1763121,0.11289336,1
-0.29069826,0.08202709,0.34001327,1
0.021120787,0.2289653,0.32634637,1
0.2646616,-0.13004881,-0.028849734,1
-0.11217422,0.057619683,-0.025816523,0
-0.10113181,0.1943069,-0.07884269,0
-0.23271765,0.117665924,0.33095688,1
0.13225263,0.0155746,-0.22413826,0
-0.05608039,-0.09218223,-0.49149087,0
0.1769213,0.1943069,-0.1695156,0
-0.05450336,0.08710722,-0.18776721,0
-0.052257795,0.34633178,-0.06719239,0
-0.15100624,-0.062415965,0.3245316,1
0.57089067,-0.17145327,-0.032752566,1
-0.28550446,-0.0073141414,0.5416041,1
-0.044361945,0.37450013,-0.16995712,0
0.21585482,-0.20831124,0.04214629,1
0.13225263,0.012212952,-0.069300525,0
-0.07700352,0.11781755,-0.31020725,0
-0.10172789,0.017523605,0.01229701,0
-0.14111257,0.08155918,0.34612933,1
0.08420555,0.16305959,0.23748785,1
0.41593608,-0.24691398,-0.1412402,1
0.17700458,-0.16537006,-0.10687204,0
-0.00024869852,0.017523605,-0.060952943,0
0.54693973,-0.20750871,-0.03127957,1
0.035915084,-0.09218223,-0.03728041,0
-0.10831408,0.27601972,-0.05594082,0
0.20066512,0.46785888,0.17405236,1
0.36884645,-0.07162699,0.07549211,1
-0.25999436,0.08636698,0.3982226,1
-0.1428691,-0.06935559,-0.1021086,0
0.51115096,-0.12307989,-0.017753802,1
0.091769,-0.1763121,-0.7229284,0
0.30237046,0.35546616,0.19030684,1
-0.027171228,-0.16721655,0.21584007,1
-0.14289129,-0.06712756,0.2501212,1
-0.10110752,0.017523605,-0.3148044,0
0.017808551,-0.09218223,-0.1825349,0
-0.06464288,0.1943069,-0.13894783,0
-0.09031979,-0.10869369,0.28371027,1
-0.09876916,0.38489154,-0.0057279556,0
-0.11081752,-0.1763121,-0.7839154,0
-0.0028773912,-0.1763121,-0.39350462,0
-0.17752348,-0.13042012,0.35827878,1
0.15499197,-0.18432844,0.040116645,1
-0.07368553,-0.1763121,0.065474726,0
0.09964997,-0.074441314,-0.39609683,0
-0.48526493,-0.058816303,0.56669044,1
-0.18543422,-0.13395695,-0.57575345,0
-0.08921637,-0.01999119,-0.46018916,0
0.17069788,0.25938872,0.2354733,1
0.52598226,-0.17592593,-0.23100044,1
0.040375922,0.28077555,0.21592058,1
-0.19434178,-0.20294215,0.25127745,1
0.3094088,-0.14379768,0.1871633,1
-0.46593148,-0.12578414,0.4448804,1
-0.1428691,0.0038659032,-0.24833363,0
0.09002474,0.30060127,-0.0076965922,0
-0.0145628825,-0.07213249,0.35891253,1
-0.078142375,-0.1763121,0.050283648,0
-0.2165298,-0.025857203,0.42351246,1
0.08679268,0.12232734,-0.18599056,0
-0.15029213,-0.1763121,-0.27606952,0
-0.070987485,-0.1763121,0.1504422,1
-0.21507469,0.20061405,0.29218376,1
-0.4603946,0.011319944,0.45920134,1
0.16015173,-0.093953,0.07439933,1
-0.09243172,-0.1763121,0.2853051,1
0.18364906,0.36687654,-0.13675293,0
0.030595154,-0.020553073,-0.5496541,0
0.14479585,0.17217277,-0.046571285,0
0.16154549,-0.17919266,0.0040481053,1
0.13105294,-0.19161458,0.07459799,1
-0.054520335,0.03088387,0.24413383,1
-0.21446007,-0.16498056,0.3992261,1
-0.11217422,0.104099594,-0.11446562,0
0.2350068,-0.10351191,0.14348085,1
0.30198026,0.54995835,0.15157145,1
0.15285827,0.3688178,-0.12572439,0
-0.16673282,-0.11958771,0.3757707,1
-0.06666869,0.08232975,0.29663,1
-0.067998216,0.07182425,-0.20862965,0
0.046264958,-0.16857572,-0.9300888,0
-0.19120374,-0.15957202,0.3082571,1
0.2295817,-0.19487396,0.054326233,1
0.33745182,-0.15532112,0.04911685,1
0.07333461,0.03406075,0.114242084,1
0.4630635,-0.2136508,-0.064325534,1
-0.2645127,0.017251777,0.3967197,1
0.12627482,0.17933126,0.059374504,1
0.17030731,0.17217277,-0.16549362,0
-0.07594739,-0.14742403,-0.91172606,0
0.1959851,0.3713068,0.108812444,1
0.11496819,0.05630536,0.029943835,1
-0.08331139,0.01881103,0.37626222,1
-0.32911816,0.0766585,0.43024972,1
0.40939423,-0.17124243,0.05913959,1
0.051201876,0.41044793,-0.13239467,0
0.2549603,-0.091707215,0.003754299,1
0.40993533,-0.19672592,-0.026256874,1
-0.046762664,-0.075698584,-0.58647156,0
0.21084684,0.50664246,0.1331634,1
-0.065483846,0.1943069,-0.080698475,0
0.27868244,-0.2552317,0.00654184,1
0.21801426,0.15692185,-0.0052568754,1
-0.15778297,0.18982734,0.42619237,1
-0.10942051,0.2204233,0.32279712,1
0.07987223,0.2911723,-0.037358075,0
0.03234031,-0.1763121,-0.5307502,0
0.16554902,-0.022513505,0.18875465,1
-0.049785536,-0.105771266,0.13468494,1
-0.18565698,-0.14366585,-0.1539036,0
0.09535568,0.26649794,-0.092421405,0
0.27039295,-0.14998578,0.08564336,1
-0.6058258,-0.06443249,0.6704054,1
-0.019006563,-0.075698584,-0.6556009,0
0.013110735,0.08356203,0.059374504,0
0.077362895,-0.18417832,0.151415,1
-0.17849419,-0.14583695,0.45364663,1
-0.04627646,-0.075698584,-0.6509826,0
0.15504625,0.0834461,0.11388711,1
-0.008543795,-0.1763121,0.17360207,1
0.35791853,-0.15998513,-0.09763509,1
-0.035164386,-0.07626734,-0.77305526,0
0.04688393,-0.1763121,-0.44754753,0
0.11193093,0.17217277,-0.090067334,0
0.09744082,-0.034627452,-0.40541172,0
-0.5746834,-0.12624553,0.44239798,1
-0.110737324,0.12187184,0.059374504,0
0.01845886,0.15683271,0.3309603,1
-0.110458806,-0.09218223,-0.087006584,0
-0.068623506,-0.1763121,-0.5632224,0
-0.1285549,-0.09218223,-0.60006917,0
-0.061584696,0.017523605,-0.27302814,0
-0.051788703,-0.09218223,-0.15734,0
0.28823334,-0.20640583,0.0266869,1
0.09054736,-0.1763121,-0.65061593,0
-0.18254909,-0.09218223,-0.38744497,0
-0.23942639,-0.059281208,0.2947833,1
-0.5234921,-0.06462901,0.5029088,1
0.13123724,0.017523605,-0.3023537,0
-0.3528528,-0.15205914,0.4758464,1
0.09094631,-0.22932507,0.19870903,1
-0.10677779,-0.11527263,0.35302886,1
-0.049585406,-0.09218223,-0.8658261,0
0.31415012,0.34184656,0.0070079896,1
-0.033898633,0.02168381,0.19335656,1
-0.11217422,0.14290944,-0.1507097,0
-0.15665326,-0.09218223,-0.2489514,0
0.14153185,0.20682755,0.24289036,1
-0.10687113,-0.09218223,-0.7831863,0
0.020043027,-0.09218223,-0.5157767,0
-0.13186194,-0.22195497,0.3000136,1
-0.21210217,0.08611925,0.45828664,1
-0.11217422,0.10191865,-0.04280334,0
-0.37367073,-0.0074556097,0.5646314,1
-0.39996654,-0.006431031,0.3894517,1
0.41698855,-0.15277578,0.04765447,1
-0.2565211,-0.19222514,0.4257907,1
0.17700458,-0.12550543,-0.37842488,0
-0.3512965,-0.1374194,0.5075241,1
-0.048154697,-0.09616655,0.23580022,1
0.13332692,0.044393975,0.03656807,1
0.3241765,-0.09018586,-0.04372684,1
0.34740788,-0.11677472,0.026217468,1
0.03624204,0.12041219,-0.23110306,0
0.39941514,-0.06593774,-0.025465222,1
-0.09830061,-0.1763121,-0.6850601,0
0.053971667,0.017523605,0.14995418,1
0.28832987,-0.21934919,0.069844194,1
-0.18565698,-0.17291333,0.2054621,1
0.020949764,-0.1763121,-0.2923414,0
0.10542451,0.22566317,0.24410078,1
0.0675394,0.12041219,-0.20195164,0
-0.32216293,-0.12563519,0.47548312,1
0.323645,-0.20733519,-0.05553943,1
0.07079396,0.014667713,0.19242477,1
-0.073851466,0.30771628,-0.23098506,0
0.019180844,0.07662956,0.059374504,0
0.64499253,-0.15201037,-0.029093934,1
0.063305505,-0.075698584,-0.6407854,0
0.4092071,-0.19300632,-0.17304188,1
0.188904,0.15628505,0.13411562,1
0.03227803,0.024441566,0.09990758,1
-0.061016094,0.17027782,-0.18599056,0
0.08091732,-0.08270623,0.2668153,1
0.011237169,0.0890516,-0.19157934,0
0.14215475,-0.1763121,-0.21618885,0
-0.24239662,0.023418691,0.42884675,1
-0.0963588,-0.1763121,-0.8422624,0
-0.3984675,-0.12360547,0.4855877,1
-0.11035644,0.04878725,0.28691244,1
0.34514862,-0.11085893,0.009053861,1
0.14733012,-0.1763121,-0.44444343,0
-0.18565698,-0.108477645,0.203979,1
0.15533444,-0.09218223,-0.5996852,0
0.025978383,0.18246184,0.32078472,1
-0.09508173,0.017523605,-0.2484497,0
0.25893643,0.0359986,0.18983778,1
0.16921969,0.010496354,0.20378473,1
0.23920015,0.26502827,0.1585156,1
-0.06071508,-0.084183656,-0.8269274,0
-0.02152668,-0.057541166,0.26545268,1
-0.15173264,-0.09218223,0.25204122,1
0.17700458,-0.17349882,-0.007573946,1
-0.18252847,0.056572434,0.31068566,1
-0.10181422,0.03973383,0.2650693,1
0.2519488,0.475576,0.095633425,1
-0.1428691,-0.035766985,-0.2592801,0
-0.25219807,-0.13012768,0.35364679,1
-0.020464825,-0.1763121,-0.2015628,0
0.009667852,-0.1763121,0.0312108,0
0.38382965,-0.11226776,0.09501127,1
-0.095828824,0.20698042,0.015807934,0
0.52990633,-0.18021621,-0.019032635,1
-0.46444735,-0.09876634,0.47839472,1
0.03515528,-0.00029589914,-0.46969998,0
0.09047799,0.017523605,-0.28114012,0
-0.12898867,0.069603294,0.41428807,1
0.33510768,-0.20008087,-0.019930191,1
-0.087219365,0.22703916,0.40333232,1
-0.5184082,-0.13827224,0.6891747,1
0.1289134,0.017523605,-0.3147501,0
-0.073851466,0.27952054,-0.09055659,0
-0.15725204,0.05216208,0.48385218,1
0.10724277,0.17160206,-0.00039856078,0
-0.038255606,0.02524766,0.1756512,1
0.3113562,-0.001980338,0.025493942,1
-0.281063,0.0019789084,0.43894517,1
-0.19000182,0.14984779,0.4022277,1
-0.1550415,0.3688178,-0.15651348,0
0.04768005,0.12735304,0.24469765,1
-0.4470673,-0.042202115,0.59544784,1
-0.18565698,-0.1564188,-0.0029441614,0
-0.015519117,0.017523605,-0.09344803,0
0.1582184,-0.1763121,0.09650729,1
-0.018440159,-0.13587397,0.16954178,1
0.35737216,-0.115046434,0.09791732,1
0.009555367,-0.075698584,-0.66231513,0
-0.28907862,0.07633721,0.46881777,1
-0.10012795,-0.09218223,-0.6753513,0
